"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000107359",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107377",0.30881025281684,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000107397",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000107417",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107429",0.163926762652842,-0.769628091092986,3.06709406597206,-0.250930709831055,0.801867680831214,0.876098704580508
"ENSMUSG00000107447",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000107480",0.685198198012299,-2.88219348658732,3.04953088018298,-0.945126840759975,0.344594123762453,0.876098704580508
"ENSMUSG00000107498",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000107501",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000107503",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107535",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107558",0.295915008296402,-2.36313470922624,3.05843324320251,-0.772661857007471,0.439722525956278,0.876098704580508
"ENSMUSG00000107559",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000107570",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107573",0.823926145751051,-2.88219348658732,3.04953088018298,-0.945126840759975,0.344594123762453,0.876098704580508
"ENSMUSG00000107578",0.163926762652842,-0.769628091092986,3.06709406597206,-0.250930709831055,0.801867680831214,0.876098704580508
"ENSMUSG00000107580",0.0331013622228164,-0.827684996083765,3.06757218417908,-0.269817610275816,0.787300574091568,0.876098704580508
"ENSMUSG00000107595",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107606",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000107619",0.163926762652842,-0.769628091092986,3.06709406597206,-0.250930709831055,0.801867680831214,0.876098704580508
"ENSMUSG00000107623",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000107628",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000107635",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000107651",0.0331013622228164,-0.827684996083765,3.06757218417908,-0.269817610275816,0.787300574091568,0.876098704580508
